Date,Reading
1582 February 27,"26, 4, 16"
1585 September 21,"25, 56, 23"
1582 March 5,"25, 56, 33"
1585 September 14,"26, 4, 43"
1582 March 5,"25, 59, 15"
1585 September 15,"26, 1, 21"
1582 March 9,"25, 59, 49"
1585 September 15,"26, 1, 16"
1586 December 26,"25, 54, 51"
1588 December 15,"26, 6, 32"
1586 December 27,"25, 52, 22"
1588 November 29,"26, 8, 52"
1587 January 9,"26, 2, 5"
1588 December 6,"25, 58, 49"
1587 January 24,"26, 6, 44"
1588 October 26,"25, 54, 13"
1587 August 17,"26, 5, 40"
1588 April 16,"25, 54, 48"
1587 August 17,"26, 1, 1"
1588 April 16,"25, 59, 6"
1587 August 18,"25, 54, 35"
1588 March 28,"26, 6, 20"
1587 August 18,"25, 54, 49"
1588 April 16,"26, 6, 30"
